id,name,thumbnail,menu,ctg1,ctg2,diet,cheap,latitude,longitude,kakao_link
0,봉피양 판교점,./pictures/p0.jpg,"[{""name"": ""평양냉면"", ""price"": ""16000""}, {""name"": ""돼지목심본갈비(270g)"", ""price"": ""36000""}, {""name"": ""벽제설렁탕"", ""price"": ""19000""}, {""name"": ""한우생갈비(200g)"", ""price"": ""140000""}]","[""한식""]","[""고기""]",False,False,37.4021235864699,127.109228804893,https://map.kakao.com/?q=%EB%B4%89%ED%94%BC%EC%96%91%20%ED%8C%90%EA%B5%90%EC%A0%90
1,원조감자탕일미집 판교점,./pictures/p1.jpg,"[{""name"": ""감자탕백반"", ""price"": ""10000""}, {""name"": ""감자탕 - 소"", ""price"": ""23000""}, {""name"": ""감자탕 - 중"", ""price"": ""31000""}, {""name"": ""감자탕 - 대"", ""price"": ""39000""}, {""name"": ""감자사리"", ""price"": ""3000""}]","[""한식""]","[""감자탕""]",False,False,37.40209444163266,127.10858950934346,https://map.kakao.com/?q=%EC%9B%90%EC%A1%B0%EA%B0%90%EC%9E%90%ED%83%95%EC%9D%BC%EB%AF%B8%EC%A7%91%20%ED%8C%90%EA%B5%90%EC%A0%90
2,됐소 판교점,./pictures/p2.jpg,"[{""name"": ""꽃등심(150g)"", ""price"": ""37000""}, {""name"": ""삼겹살(150g)"", ""price"": ""16000""}, {""name"": ""투뿔등심(150g)"", ""price"": ""43000""}, {""name"": ""안심(150g)"", ""price"": ""40000""}, {""name"": ""치마살(150g)"", ""price"": ""43000""}]","[""한식""]","[""비빔밥"", ""찌개"", ""고기""]",False,False,37.4020768699504,127.106110401713,https://map.kakao.com/?q=%EB%90%90%EC%86%8C%20%ED%8C%90%EA%B5%90%EC%A0%90
3,황제갈비,./pictures/p3.jpg,"[{""name"": ""생갈비 300g + 생토시 300g"", ""price"": ""52000""}, {""name"": ""생갈비 600g + 생토시 600g"", ""price"": ""96000""}, {""name"": ""1인분"", ""price"": ""16000""}, {""name"": ""생갈비 600g + 생갈비 600g"", ""price"": ""96000""}, {""name"": ""생토시 600g + 생토시 600g"", ""price"": ""96000""}]","[""한식""]","[""찌개"", ""고기""]",False,False,37.48434757800361,126.93329104950666,https://map.kakao.com/?q=%ED%99%A9%EC%A0%9C%EA%B0%88%EB%B9%84%20%ED%8C%90%EA%B5%90
4,해도락,./pictures/p4.jpg,"[{""name"": ""사시미 정식A"", ""price"": ""39000""}, {""name"": ""보리굴비 정찬"", ""price"": ""28000""}, {""name"": ""전복버섯돌솥밥"", ""price"": ""20000""}, {""name"": ""사시미 정식B"", ""price"": ""59000""}, {""name"": ""사시미 정식C"", ""price"": ""89000""}]","[""한식""]","[""칼국수"", ""비빔밥""]",False,False,37.40210662158287,127.10808015719785,https://map.kakao.com/?q=%ED%95%B4%EB%8F%84%EB%9D%BD%20%ED%8C%90%EA%B5%90
5,뻘낙지한마당,./pictures/p5.jpg,"[{""name"": ""낙지비빔밥"", ""price"": ""11000""}, {""name"": ""산낙지비빔밥"", ""price"": ""20000""}, {""name"": ""무안뻘산낙지"", ""price"": ""55000""}, {""name"": ""문어숙회"", ""price"": """"}, {""name"": ""벌교 참 꼬막"", ""price"": ""25000""}]","[""한식""]","[""비빔밥""]",False,False,37.3405186341582,127.109279455993,https://map.kakao.com/?q=%EB%BB%98%EB%82%99%EC%A7%80%ED%95%9C%EB%A7%88%EB%8B%B9%20%ED%8C%90%EA%B5%90
6,수작,./pictures/p6.jpg,"[{""name"": ""한돈꽃삼겹 관자 삼합"", ""price"": ""25000""}, {""name"": ""아롱사태 수육무침 굴림만두샤브 세트"", ""price"": ""25000""}, {""name"": ""수제 굴림만두 소고기 샤브샤브"", ""price"": ""16000""}, {""name"": ""소고기 샤브샤브"", ""price"": ""14000""}, {""name"": ""메밀 비빔냉면"", ""price"": ""14000""}]","[""한식""]","[""칼국수"", ""고기""]",False,False,37.54433805499722,126.97051140000875,https://map.kakao.com/?q=%EC%88%98%EC%9E%91%20%ED%8C%90%EA%B5%90
7,닭갈비야,./pictures/p7.jpg,"[{""name"": ""치즈닭갈비"", ""price"": ""17000""}, {""name"": ""닭갈비"", ""price"": ""14000""}]","[""한식""]","[""고기""]",False,False,37.4019332755926,127.107475668379,https://map.kakao.com/?q=%EB%8B%AD%EA%B0%88%EB%B9%84%EC%95%BC%20%ED%8C%90%EA%B5%90
8,현대옥 판교점,./pictures/p8.jpg,"[{""name"": ""얼큰 돼지국밥"", ""price"": ""10000""}, {""name"": ""전주끓이는식 콩나물국밥"", ""price"": ""8000""}, {""name"": ""전주남부시장식 콩나물국밥"", ""price"": ""8000""}, {""name"": ""현대옥 스테이크"", ""price"": ""10000""}, {""name"": ""어린이용 콩나물국밥"", ""price"": ""8000""}]","[""한식""]","[""국밥""]",False,True,37.401902113897044,127.10706338563806,https://map.kakao.com/?q=%ED%98%84%EB%8C%80%EC%98%A5%20%ED%8C%90%EA%B5%90%EC%A0%90
9,토속상황삼계탕,./pictures/p9.jpg,"[{""name"": ""상황삼계탕"", ""price"": ""16000""}, {""name"": ""한방삼계탕"", ""price"": ""18000""}, {""name"": ""들깨삼계탕"", ""price"": ""18000""}, {""name"": ""뚝닭이"", ""price"": ""9000""}, {""name"": ""낙지볶음비빔밥"", ""price"": ""11000""}]","[""한식""]","[""비빔밥"", ""고기""]",False,False,37.338123886713596,127.10200190647627,https://map.kakao.com/?q=%ED%86%A0%EC%86%8D%EC%83%81%ED%99%A9%EC%82%BC%EA%B3%84%ED%83%95%20%ED%8C%90%EA%B5%90
10,원조부안집 판교직영점,./pictures/p10.jpg,"[{""name"": ""육즙목살"", ""price"": ""15000""}, {""name"": ""쫀득살"", ""price"": ""15000""}, {""name"": ""숙성삼겹"", ""price"": ""15000""}, {""name"": ""쫄깃껍데기"", ""price"": ""9000""}, {""name"": ""살얼음 물쫄면"", ""price"": ""6000""}]","[""한식""]","[""칼국수"", ""국밥"", ""비빔밥"", ""찌개"", ""고기"", ""감자탕""]",False,False,37.4005176314543,127.106635632548,https://map.kakao.com/?q=%EC%9B%90%EC%A1%B0%EB%B6%80%EC%95%88%EC%A7%91%20%ED%8C%90%EA%B5%90%EC%A7%81%EC%98%81%EC%A0%90
